ID,symbol,interval,Smooth Data?,Main Length Period,Secondary Length Period,Deviation Coefficient,BB Source,BB Length,BB StdDev,BB Signal Smoothing,BB Std. threshold,From Day,From Month,From Year,To Day,To Month,To Year,Use Heikin Ashi Candles in Algo Calculations,length,pcntChange,Rating for entry,Rating for exit,TP % for Short entries,SL % for Short entries,entry_numbers,longEntry,shortEntry,risk,leverage,combinedValue_net_profit,combinedPct_net_profit,longValue_net_profit,back_test,Score_back,,fw_test,Score_fw,weighted_average
"13, 02, 0.30, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,13,2,0.3,0.4,0,0,0,TRUE,FALSE,100,1,22179.23,2217.92,22179.23,2217.92,100.00,,431.88,88.32,97.52998941
"13, 02, 0.35, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,13,2,0.35,0.4,0,0,0,TRUE,FALSE,100,1,22179.23,2217.92,22179.23,2217.92,100.00,,431.88,88.32,97.52998941
"13, 02, 0.35, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,13,2,0.35,0.45,0,0,0,TRUE,FALSE,100,1,22179.23,2217.92,22179.23,2217.92,100.00,,431.88,88.32,97.52998941
"14, 01, 0.30, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,14,1,0.3,0.5,0,0,0,TRUE,FALSE,100,1,21480.78,2148.08,21480.78,2148.08,96.85,,484.58,99.10,97.32682834
"14, 01, 0.35, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,14,1,0.35,0.4,0,0,0,TRUE,FALSE,100,1,21480.78,2148.08,21480.78,2148.08,96.85,,484.58,99.10,97.32682834
"14, 01, 0.35, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,14,1,0.35,0.45,0,0,0,TRUE,FALSE,100,1,21480.78,2148.08,21480.78,2148.08,96.85,,484.58,99.10,97.32682834
"14, 01, 0.35, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,14,1,0.35,0.5,0,0,0,TRUE,FALSE,100,1,21480.78,2148.08,21480.78,2148.08,96.85,,484.58,99.10,97.32682834
"07, 01, 0.30, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,7,1,0.3,0.4,0,0,0,TRUE,FALSE,100,1,21468.78,2146.88,21468.78,2146.88,96.80,,480.49,98.26,97.10724419
"07, 01, 0.30, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,7,1,0.3,0.5,0,0,0,TRUE,FALSE,100,1,21468.78,2146.88,21468.78,2146.88,96.80,,480.49,98.26,97.10724419
"07, 01, 0.35, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,7,1,0.35,0.45,0,0,0,TRUE,FALSE,100,1,21468.78,2146.88,21468.78,2146.88,96.80,,480.49,98.26,97.10724419
