"symbol","interval","Smooth Data?","Main Length Period","Secondary Length Period","Deviation Coefficient","BB Source","BB Length","BB StdDev","BB Signal Smoothing","BB Std. threshold","From Day","From Month","From Year","To Day","To Month","To Year","Use Heikin Ashi Candles in Algo Calculations","length","pcntChange","Rating for entry","Rating for exit","TP % for Short entries","SL % for Short entries","entry_numbers","longEntry","shortEntry","risk","leverage","combinedValue_net_profit","combinedPct_net_profit","longValue_net_profit","longPct_net_profit","shortPct_net_profit","combinedValue_gross_profit","combinedPct_gross_profit","longValue_gross_profit","longPct_gross_profit","shortPct_gross_profit","combinedValue_gross_loss","combinedPct_gross_loss","longValue_gross_loss","longPct_gross_loss","shortPct_gross_loss","combinedValue_max_drawdown","combinedPct_max_drawdown","longValue_max_drawdown","longPct_max_drawdown","shortPct_max_drawdown","combinedValue_buy_and_hold_return","combinedPct_buy_and_hold_return","longValue_buy_and_hold_return","longPct_buy_and_hold_return","shortPct_buy_and_hold_return","combinedValue_sharpe_ratio","combinedPct_sharpe_ratio","longValue_sharpe_ratio","longPct_sharpe_ratio","shortPct_sharpe_ratio","combinedValue_profit_factor","combinedPct_profit_factor","longValue_profit_factor","longPct_profit_factor","shortPct_profit_factor","combinedValue_max_contracts_held","combinedPct_max_contracts_held","longValue_max_contracts_held","longPct_max_contracts_held","shortPct_max_contracts_held","combinedValue_open_pl","combinedPct_open_pl","longValue_open_pl","longPct_open_pl","shortPct_open_pl","combinedValue_commission_paid","combinedPct_commission_paid","longValue_commission_paid","longPct_commission_paid","shortPct_commission_paid","combinedValue_total_closed_trades","combinedPct_total_closed_trades","longValue_total_closed_trades","longPct_total_closed_trades","shortPct_total_closed_trades","combinedValue_total_open_trades","combinedPct_total_open_trades","longValue_total_open_trades","longPct_total_open_trades","shortPct_total_open_trades","combinedValue_number_winning_trades","combinedPct_number_winning_trades","longValue_number_winning_trades","longPct_number_winning_trades","shortPct_number_winning_trades","combinedValue_number_losing_trades","combinedPct_number_losing_trades","longValue_number_losing_trades","longPct_number_losing_trades","shortPct_number_losing_trades","combinedValue_percent_profitable","combinedPct_percent_profitable","longValue_percent_profitable","longPct_percent_profitable","shortPct_percent_profitable","combinedValue_avg_trade","combinedPct_avg_trade","longValue_avg_trade","longPct_avg_trade","shortPct_avg_trade","combinedValue_avg_winning_trade","combinedPct_avg_winning_trade","longValue_avg_winning_trade","longPct_avg_winning_trade","shortPct_avg_winning_trade","combinedValue_avg_losing_trade","combinedPct_avg_losing_trade","longValue_avg_losing_trade","longPct_avg_losing_trade","shortPct_avg_losing_trade","combinedValue_ratio_avg_win_avg_loss","combinedPct_ratio_avg_win_avg_loss","longValue_ratio_avg_win_avg_loss","longPct_ratio_avg_win_avg_loss","shortPct_ratio_avg_win_avg_loss","combinedValue_largest_winning_trade","combinedPct_largest_winning_trade","longValue_largest_winning_trade","longPct_largest_winning_trade","shortPct_largest_winning_trade","combinedValue_largest_losing_trade","combinedPct_largest_losing_trade","longValue_largest_losing_trade","longPct_largest_losing_trade","shortPct_largest_losing_trade","combinedValue_avg_num_bars_in_trades","combinedPct_avg_num_bars_in_trades","longValue_avg_num_bars_in_trades","longPct_avg_num_bars_in_trades","shortPct_avg_num_bars_in_trades","combinedValue_avg_num_bars_in_winning_trades","combinedPct_avg_num_bars_in_winning_trades","longValue_avg_num_bars_in_winning_trades","longPct_avg_num_bars_in_winning_trades","shortPct_avg_num_bars_in_winning_trades","combinedValue_avg_num_bars_in_losing_trades","combinedPct_avg_num_bars_in_losing_trades","longValue_avg_num_bars_in_losing_trades","longPct_avg_num_bars_in_losing_trades","shortPct_avg_num_bars_in_losing_trades","combinedValue_margin_calls","combinedPct_margin_calls","longValue_margin_calls","longPct_margin_calls","shortPct_margin_calls"
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","6","1","0.35","0.5","4.4","3.4","1","TRUE","TRUE","100","1","72338.88","7233.89","46997.75","4699.77","2534.11","92740.87","9274.09","59226.67","5922.67","3351.42","20402.00","2040.2","12228.92","1222.89","817.31","2509.85","25.6","","","","12058.96","1205.9","","","","0.566","","","","","4.546","","4.843","","","120","","120","","","151025.09","205.93","","","","0","","0","","","256","","128","","","1","","1","","","111","","52","","","144","","76","","","43.36","","40.63","","","282.57","28.26","367.17","36.72","19.8","835.50","83.55","1138.97","113.9","56.8","141.68","14.17","160.91","16.09","12.02","5.897","","7.078","","","9338.04","61.86","9338.04","61.86","8.35","891.44","10.13","891.44","10.13","5.11","51","","77","","","79","","141","","","30","","33","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2","2","1","TRUE","TRUE","100","1","53477.52","5347.75","41192.35","4119.23","1228.52","68704.15","6870.41","51138.88","5113.89","1756.53","15226.63","1522.66","9946.53","994.65","528.01","1729.58","16.18","","","","12480.83","1248.08","","","","0.553","","","","","4.512","","5.141","","","89","","89","","","112184.37","205.93","","","","0","","0","","","234","","117","","","1","","1","","","127","","51","","","107","","66","","","54.27","","43.59","","","228.54","22.85","352.07","35.21","10.5","540.98","54.1","1002.72","100.27","23.11","142.30","14.23","150.70","15.07","12.88","3.802","","6.654","","","8070.95","59.17","8070.95","59.17","6.03","710.07","7.73","710.07","7.73","5.11","48","","81","","","66","","143","","","26","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2","3.3","1","TRUE","TRUE","100","1","47365.57","4736.56","36836.64","3683.66","1052.89","61855.80","6185.58","45851.08","4585.11","1600.47","14490.23","1449.02","9014.44","901.44","547.58","1706.54","18.53","","","","12480.83","1248.08","","","","0.54","","","","","4.269","","5.086","","","79","","79","","","99598.09","205.93","","","","0","","0","","","234","","117","","","1","","1","","","131","","51","","","103","","66","","","55.98","","43.59","","","202.42","20.24","314.84","31.48","9","472.18","47.22","899.04","89.9","20.01","140.68","14.07","136.58","13.66","14.8","3.356","","6.582","","","7165.46","59.17","7165.46","59.17","6.03","798.53","7.73","646.54","7.73","5.11","49","","81","","","65","","143","","","29","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.1","2.8","1","TRUE","TRUE","100","1","55182.89","5518.29","42366.67","4236.67","1281.62","70722.17","7072.22","52565.11","5256.51","1815.71","15539.28","1553.93","10198.45","1019.84","534.08","1764.52","18.3","","","","12480.83","1248.08","","","","0.555","","","","","4.551","","5.154","","","92","","92","","","115696.20","205.93","","","","0","","0","","","234","","117","","","1","","1","","","130","","51","","","104","","66","","","55.56","","43.59","","","235.82","23.58","362.11","36.21","10.95","544.02","54.4","1030.69","103.07","22.98","149.42","14.94","154.52","15.45","14.05","3.641","","6.67","","","8323.61","59.17","8323.61","59.17","6.03","718.93","7.73","718.93","7.73","5.11","49","","81","","","66","","143","","","28","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.1","2.9","1","TRUE","TRUE","100","1","54911.32","5491.13","42161.48","4216.15","1274.98","70374.21","7037.42","52308.12","5230.81","1806.61","15462.90","1546.29","10146.63","1014.66","531.63","1740.47","18.3","","","","12480.83","1248.08","","","","0.554","","","","","4.551","","5.155","","","91","","91","","","115136.90","205.93","","","","0","","0","","","234","","117","","","1","","1","","","130","","51","","","104","","66","","","55.56","","43.59","","","234.66","23.47","360.35","36.04","10.9","541.34","54.13","1025.65","102.56","22.87","148.68","14.87","153.74","15.37","13.99","3.641","","6.671","","","8283.37","59.17","8283.37","59.17","6.03","714.55","7.73","714.55","7.73","5.11","49","","81","","","66","","143","","","28","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2","3.4","1","TRUE","TRUE","100","1","47365.57","4736.56","36836.64","3683.66","1052.89","61855.80","6185.58","45851.08","4585.11","1600.47","14490.23","1449.02","9014.44","901.44","547.58","1706.54","18.53","","","","12480.83","1248.08","","","","0.54","","","","","4.269","","5.086","","","79","","79","","","99598.09","205.93","","","","0","","0","","","234","","117","","","1","","1","","","131","","51","","","103","","66","","","55.98","","43.59","","","202.42","20.24","314.84","31.48","9","472.18","47.22","899.04","89.9","20.01","140.68","14.07","136.58","13.66","14.8","3.356","","6.582","","","7165.46","59.17","7165.46","59.17","6.03","798.53","7.73","646.54","7.73","5.11","49","","81","","","65","","143","","","29","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.2","2.9","1","TRUE","TRUE","100","1","56999.79","5699.98","43522.38","4352.24","1347.74","72912.98","7291.3","53970.09","5397.01","1894.29","15913.19","1591.32","10447.71","1044.77","546.55","1789.04","18.3","","","","12480.83","1248.08","","","","0.558","","","","","4.582","","5.166","","","95","","95","","","119437.61","205.93","","","","0","","0","","","234","","117","","","1","","1","","","130","","51","","","104","","66","","","55.56","","43.59","","","243.59","24.36","371.99","37.2","11.52","560.87","56.09","1058.24","105.82","23.98","153.01","15.3","158.30","15.83","14.38","3.666","","6.685","","","8592.78","59.17","8592.78","59.17","6.03","734.49","7.73","734.49","7.73","5.11","49","","81","","","66","","143","","","28","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.2","4.9","1","TRUE","TRUE","100","1","52735.77","5273.58","40624.56","4062.46","1211.12","68494.34","6849.43","50481.34","5048.13","1801.3","15758.57","1575.86","9856.79","985.68","590.18","1894.61","20.29","","","","12480.83","1248.08","","","","0.55","","","","","4.346","","5.121","","","88","","88","","","110656.83","205.93","","","","0","","0","","","234","","117","","","1","","1","","","132","","51","","","102","","66","","","56.41","","43.59","","","225.37","22.54","347.22","34.72","10.35","518.90","51.89","989.83","98.98","22.24","154.50","15.45","149.35","14.93","16.39","3.359","","6.628","","","7961.06","59.17","7961.06","59.17","6.03","894.67","7.73","701.20","7.73","5.11","50","","81","","","65","","143","","","30","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.2","3","1","TRUE","TRUE","100","1","53362.15","5336.22","41105.42","4110.54","1225.67","69047.27","6904.73","51080.07","5108.01","1796.72","15685.12","1568.51","9974.65","997.47","571.05","1900.84","18.3","","","","12480.83","1248.08","","","","0.552","","","","","4.402","","5.121","","","89","","89","","","111946.72","205.93","","","","0","","0","","","234","","117","","","1","","1","","","130","","51","","","104","","66","","","55.56","","43.59","","","228.04","22.8","351.33","35.13","10.48","531.13","53.11","1001.57","100.16","22.74","150.82","15.08","151.13","15.11","15.03","3.522","","6.627","","","8053.87","59.17","8053.87","59.17","6.03","705.67","7.73","705.67","7.73","5.11","49","","81","","","66","","143","","","28","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.2","5","1","TRUE","TRUE","100","1","56438.58","5643.86","43405.95","4340.6","1303.26","73209.68","7320.97","53937.50","5393.75","1927.22","16771.10","1677.11","10531.54","1053.15","623.96","2025.16","17.25","","","","12480.83","1248.08","","","","0.557","","","","","4.365","","5.122","","","94","","94","","","118282.05","205.93","","","","0","","0","","","234","","117","","","1","","1","","","133","","51","","","101","","66","","","56.84","","43.59","","","241.19","24.12","370.99","37.1","11.14","550.45","55.04","1057.60","105.76","23.5","166.05","16.61","159.57","15.96","17.83","3.315","","6.628","","","8509.64","59.17","8509.64","59.17","6.03","956.32","7.73","749.52","7.73","5.11","50","","81","","","65","","143","","","31","","34","","","0","","0","",""
