"Symbol","Interval","Smooth Data?","Main Length Period","Secondary Length Period","Deviation Coefficient","BB Source","BB Length","BB StdDev","BB Signal Smoothing","BB Std. threshold","From Day","From Month","From Year","To Day","To Month","To Year","Use Heikin Ashi Candles in Algo Calculations","length","pcntChange","Rating for entry","Rating for exit","TP % for Short entries","SL % for Short entries","entry_numbers","longEntry","shortEntry","risk","leverage","_source","combinedValue_net_profit","combinedPct_net_profit","longValue_net_profit","longPct_net_profit","shortPct_net_profit","combinedValue_gross_profit","combinedPct_gross_profit","longValue_gross_profit","longPct_gross_profit","shortPct_gross_profit","combinedValue_gross_loss","combinedPct_gross_loss","longValue_gross_loss","longPct_gross_loss","shortPct_gross_loss","combinedValue_max_drawdown","combinedPct_max_drawdown","longValue_max_drawdown","longPct_max_drawdown","shortPct_max_drawdown","combinedValue_buy_and_hold_return","combinedPct_buy_and_hold_return","longValue_buy_and_hold_return","longPct_buy_and_hold_return","shortPct_buy_and_hold_return","combinedValue_sharpe_ratio","combinedPct_sharpe_ratio","longValue_sharpe_ratio","longPct_sharpe_ratio","shortPct_sharpe_ratio","combinedValue_profit_factor","combinedPct_profit_factor","longValue_profit_factor","longPct_profit_factor","shortPct_profit_factor","combinedValue_max_contracts_held","combinedPct_max_contracts_held","longValue_max_contracts_held","longPct_max_contracts_held","shortPct_max_contracts_held","combinedValue_open_pl","combinedPct_open_pl","longValue_open_pl","longPct_open_pl","shortPct_open_pl","combinedValue_commission_paid","combinedPct_commission_paid","longValue_commission_paid","longPct_commission_paid","shortPct_commission_paid","combinedValue_total_closed_trades","combinedPct_total_closed_trades","longValue_total_closed_trades","longPct_total_closed_trades","shortPct_total_closed_trades","combinedValue_total_open_trades","combinedPct_total_open_trades","longValue_total_open_trades","longPct_total_open_trades","shortPct_total_open_trades","combinedValue_number_winning_trades","combinedPct_number_winning_trades","longValue_number_winning_trades","longPct_number_winning_trades","shortPct_number_winning_trades","combinedValue_number_losing_trades","combinedPct_number_losing_trades","longValue_number_losing_trades","longPct_number_losing_trades","shortPct_number_losing_trades","combinedValue_percent_profitable","combinedPct_percent_profitable","longValue_percent_profitable","longPct_percent_profitable","shortPct_percent_profitable","combinedValue_avg_trade","combinedPct_avg_trade","longValue_avg_trade","longPct_avg_trade","shortPct_avg_trade","combinedValue_avg_winning_trade","combinedPct_avg_winning_trade","longValue_avg_winning_trade","longPct_avg_winning_trade","shortPct_avg_winning_trade","combinedValue_avg_losing_trade","combinedPct_avg_losing_trade","longValue_avg_losing_trade","longPct_avg_losing_trade","shortPct_avg_losing_trade","combinedValue_ratio_avg_win_avg_loss","combinedPct_ratio_avg_win_avg_loss","longValue_ratio_avg_win_avg_loss","longPct_ratio_avg_win_avg_loss","shortPct_ratio_avg_win_avg_loss","combinedValue_largest_winning_trade","combinedPct_largest_winning_trade","longValue_largest_winning_trade","longPct_largest_winning_trade","shortPct_largest_winning_trade","combinedValue_largest_losing_trade","combinedPct_largest_losing_trade","longValue_largest_losing_trade","longPct_largest_losing_trade","shortPct_largest_losing_trade","combinedValue_avg_num_bars_in_trades","combinedPct_avg_num_bars_in_trades","longValue_avg_num_bars_in_trades","longPct_avg_num_bars_in_trades","shortPct_avg_num_bars_in_trades","combinedValue_avg_num_bars_in_winning_trades","combinedPct_avg_num_bars_in_winning_trades","longValue_avg_num_bars_in_winning_trades","longPct_avg_num_bars_in_winning_trades","shortPct_avg_num_bars_in_winning_trades","combinedValue_avg_num_bars_in_losing_trades","combinedPct_avg_num_bars_in_losing_trades","longValue_avg_num_bars_in_losing_trades","longPct_avg_num_bars_in_losing_trades","shortPct_avg_num_bars_in_losing_trades","combinedValue_margin_calls","combinedPct_margin_calls","longValue_margin_calls","longPct_margin_calls","shortPct_margin_calls"
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.5,2,true,true,100,1,"7_1_0.35_0.45.yml","54577.00","5457.7","42055.82","4205.58","1252.12","81600.23","8160.02","53759.87","5375.99","2784.04","27023.23","2702.32","11704.05","1170.4","1531.92","2130.16","27.83","","","","12537.30","1253.73","","","","0.543","","","","","3.02","","4.593","","","94","","91","","","115160.68","207.21","","","","0","","0","","","345","","128","","","1","","1","","","179","","53","","","166","","75","","","51.88","","41.41","","","158.19","15.82","328.56","32.86","5.77","455.87","45.59","1014.34","101.43","22.1","162.79","16.28","156.05","15.61","16.83","2.8","","6.5","","","8085.04","61.66","8085.04","61.66","7.68","1277.08","10.13","723.42","10.13","5.11","37","","77","","","50","","140","","","23","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.5,1,true,true,100,1,"7_1_0.35_0.45.yml","50739.32","5073.93","39187.91","3918.79","1155.14","66859.45","6685.94","49980.50","4998.05","1687.89","16120.12","1612.01","10792.59","1079.26","532.75","1809.57","28.2","","","","12537.30","1253.73","","","","0.541","","","","","4.148","","4.631","","","84","","84","","","107208.77","207.21","","","","0","","0","","","256","","128","","","1","","1","","","133","","53","","","123","","75","","","51.95","","41.41","","","198.20","19.82","306.16","30.62","9.02","502.70","50.27","943.03","94.3","21.1","131.06","13.11","143.90","14.39","11.1","3.836","","6.553","","","7716.81","61.66","7716.81","61.66","6.03","671.07","10.13","671.07","10.13","5.11","46","","77","","","64","","140","","","27","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.1,1,true,true,100,1,"7_1_0.35_0.45.yml","48629.49","4862.95","37561.56","3756.16","1106.79","64054.92","6405.49","47929.41","4792.94","1612.55","15425.42","1542.54","10367.85","1036.78","505.76","1582.04","26.63","","","","12537.30","1253.73","","","","0.538","","","","","4.153","","4.623","","","81","","81","","","102837.00","207.21","","","","0","","0","","","256","","128","","","1","","1","","","130","","53","","","126","","75","","","50.78","","41.41","","","189.96","19","293.45","29.34","8.65","492.73","49.27","904.33","90.43","20.94","122.42","12.24","138.24","13.82","9.92","4.025","","6.542","","","7402.14","61.66","7402.14","61.66","6.03","642.71","10.13","642.71","10.13","5.11","45","","77","","","64","","140","","","26","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.1,2,true,true,100,1,"7_1_0.35_0.45.yml","51078.92","5107.89","39051.44","3905.14","1202.75","75376.36","7537.64","49837.28","4983.73","2553.91","24297.43","2429.74","10785.84","1078.58","1351.16","1961.34","26.36","","","","12537.30","1253.73","","","","0.538","","","","","3.102","","4.621","","","88","","85","","","107912.43","207.21","","","","0","","0","","","347","","128","","","1","","1","","","175","","53","","","172","","75","","","50.43","","41.41","","","147.20","14.72","305.09","30.51","5.49","430.72","43.07","940.33","94.03","20.93","141.26","14.13","143.81","14.38","13.93","3.049","","6.539","","","7576.16","61.66","7576.16","61.66","7.68","1196.70","10.13","668.60","10.13","5.11","37","","77","","","51","","140","","","22","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.4,1,true,true,100,1,"7_1_0.35_0.45.yml","51078.92","5107.89","39051.44","3905.14","1202.75","75376.36","7537.64","49837.28","4983.73","2553.91","24297.43","2429.74","10785.84","1078.58","1351.16","1961.34","26.36","","","","12509.68","1250.97","","","","0.539","","","","","3.102","","4.621","","","88","","85","","","107585.95","206.58","","","","0","","0","","","347","","128","","","1","","1","","","175","","53","","","172","","75","","","50.43","","41.41","","","147.20","14.72","305.09","30.51","5.49","430.72","43.07","940.33","94.03","20.93","141.26","14.13","143.81","14.38","13.93","3.049","","6.539","","","7576.16","61.66","7576.16","61.66","7.68","1196.70","10.13","668.60","10.13","5.11","37","","77","","","51","","140","","","22","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.4,2,true,true,100,1,"7_1_0.35_0.45.yml","50140.65","5014.07","38779.32","3877.93","1136.13","75280.49","7528.05","49621.00","4962.1","2565.95","25139.84","2513.98","10841.68","1084.17","1429.82","1960.12","27.83","","","","12509.68","1250.97","","","","0.537","","","","","2.994","","4.577","","","86","","83","","","105647.61","206.58","","","","0","","0","","","347","","128","","","1","","1","","","177","","53","","","170","","75","","","51.01","","41.41","","","144.50","14.45","302.96","30.3","5.19","425.31","42.53","936.25","93.62","20.69","147.88","14.79","144.56","14.46","15.05","2.876","","6.477","","","7439.67","61.66","7439.67","61.66","7.68","1175.13","10.13","665.19","10.13","5.11","37","","77","","","51","","140","","","23","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.3,3,true,true,100,1,"7_1_0.35_0.45.yml","57003.85","5700.38","42126.65","4212.66","1487.72","87652.23","8765.22","53807.07","5380.71","3384.52","30648.38","3064.84","11680.43","1168.04","1896.8","2085.35","31.79","","","","12537.30","1253.73","","","","0.553","","","","","2.86","","4.607","","","96","","95","","","120189.41","207.21","","","","0","","0","","","395","","128","","","1","","1","","","202","","53","","","193","","75","","","51.14","","41.41","","","144.31","14.43","329.11","32.91","5.57","433.92","43.39","1015.23","101.52","22.71","158.80","15.88","155.74","15.57","16.07","2.733","","6.519","","","8094.97","61.66","8094.97","61.66","9.36","1278.64","10.13","728.83","10.13","5.11","34","","77","","","46","","140","","","21","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.3,100,true,true,100,1,"7_1_0.35_0.45.yml","47851.04","4785.1","36396.87","3639.69","1145.42","81881.88","8188.19","46665.58","4666.56","3521.63","34030.83","3403.08","10268.71","1026.87","2376.21","2249.87","39.62","","","","12537.30","1253.73","","","","0.544","","","","","2.406","","4.544","","","83","","80","","","101223.92","207.21","","","","0","","0","","","476","","128","","","1","","1","","","243","","53","","","233","","75","","","51.05","","41.41","","","100.53","10.05","284.35","28.44","3.29","336.96","33.7","880.48","88.05","18.53","146.06","14.61","136.92","13.69","15.04","2.307","","6.431","","","6736.43","61.66","6736.43","61.66","9.36","1064.05","10.23","654.26","10.13","10.23","30","","77","","","39","","140","","","20","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.2,2,true,true,100,1,"7_1_0.35_0.45.yml","46837.97","4683.8","35919.83","3591.98","1091.81","69419.69","6941.97","45889.77","4588.98","2352.99","22581.73","2258.17","9969.93","996.99","1261.18","1809.43","27.83","","","","12537.30","1253.73","","","","0.53","","","","","3.074","","4.603","","","81","","78","","","99124.72","207.21","","","","0","","0","","","347","","128","","","1","","1","","","174","","53","","","173","","75","","","50.14","","41.41","","","134.98","13.5","280.62","28.06","4.99","398.96","39.9","865.84","86.58","19.45","130.53","13.05","132.93","13.29","12.87","3.056","","6.513","","","6969.91","61.66","6969.91","61.66","7.68","1106.16","10.13","615.10","10.13","5.11","37","","77","","","51","","140","","","22","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.1,3,true,true,100,1,"7_1_0.35_0.45.yml","59832.69","5983.27","44121.33","4412.13","1571.14","91738.85","9173.89","56338.98","5633.9","3539.99","31906.17","3190.62","12217.65","1221.77","1968.85","2196.31","30.4","","","","12505.58","1250.56","","","","0.559","","","","","2.875","","4.611","","","100","","99","","","125613.05","206.49","","","","0","","0","","","397","","128","","","1","","1","","","202","","53","","","195","","75","","","50.88","","41.41","","","150.71","15.07","344.70","34.47","5.84","454.15","45.42","1063.00","106.3","23.76","163.62","16.36","162.90","16.29","16.41","2.776","","6.525","","","8489.77","61.66","8489.77","61.66","9.36","1341.00","10.13","764.37","10.13","5.11","34","","77","","","46","","140","","","21","","33","","","0","","0","",""
